time_dt,timestamp,prev_index_price,interest_8h,interest_1h,index_price,time_dt
2019-05-04 04:00:00,1556938800000,5792.78,0.00010608994526484282,7.430559445491902e-06,5762.35,2019-05-04 04:00:00
2019-05-04 05:00:00,1556942400000,5762.35,0.00010017328460842231,5.943238805610722e-07,5741.4,2019-05-04 05:00:00
2019-05-04 06:00:00,1556946000000,5741.4,7.389123694199118e-05,-2.2597382589546338e-05,5705.34,2019-05-04 06:00:00
2019-05-04 07:00:00,1556949600000,5705.34,2.8448718068710164e-05,-5.608224995068227e-06,5701.53,2019-05-04 07:00:00
2019-05-04 08:00:00,1556953200000,5701.53,1.5048161527341245e-05,-3.685884456721201e-06,5731.12,2019-05-04 08:00:00
2019-05-04 09:00:00,1556956800000,5731.12,-7.193604546655643e-06,-7.5536590637657225e-06,5742.65,2019-05-04 09:00:00
2019-05-04 10:00:00,1556960400000,5742.65,-2.4950677505070976e-05,4.1987003823814346e-07,5730.55,2019-05-04 10:00:00
2019-05-04 11:00:00,1556964000000,5730.55,-3.2313589477033586e-05,-8.819305267944076e-07,5712.19,2019-05-04 11:00:00
2019-05-04 12:00:00,1556967600000,5712.19,-4.049582478871463e-05,-9.521465645990857e-07,5718.8,2019-05-04 12:00:00
2019-05-04 13:00:00,1556971200000,5718.8,-3.635587374795655e-05,4.566837138780765e-06,5724.69,2019-05-04 13:00:00
2019-05-04 14:00:00,1556974800000,5724.69,-1.3700776165334167e-05,-2.9285073430451884e-08,5707.61,2019-05-04 14:00:00
2019-05-04 15:00:00,1556978400000,5707.61,-9.537226290128327e-06,-1.4511372794817648e-06,5569.99,2019-05-04 15:00:00
2019-05-04 16:00:00,1556982000000,5569.99,-7.155700084218771e-07,5.020893712140283e-06,5574.79,2019-05-04 16:00:00
2019-05-04 17:00:00,1556985600000,5574.79,1.0362543493782494e-05,3.408078296244552e-06,5553.67,2019-05-04 17:00:00
2019-05-04 18:00:00,1556989200000,5553.67,1.0017146666864418e-05,9.247749844107177e-08,5579.27,2019-05-04 18:00:00
2019-05-04 19:00:00,1556992800000,5579.27,4.2223586667218193e-07,-1.0198943321524519e-05,5592.15,2019-05-04 19:00:00
2019-05-04 20:00:00,1556996400000,5592.15,-1.5475322831811936e-05,-1.647810258151826e-05,5591.89,2019-05-04 20:00:00
2019-05-04 21:00:00,1557000000000,5591.89,-3.027435536721369e-05,-9.974668058763955e-06,5610.32,2019-05-04 21:00:00
2019-05-04 22:00:00,1557003600000,5610.32,-5.3241625974446656e-05,-2.2693264172295578e-05,5687.54,2019-05-04 22:00:00
2019-05-04 23:00:00,1557007200000,5687.54,-1.650609076362535e-05,3.475393673434221e-05,5782.12,2019-05-04 23:00:00
2019-05-05 00:00:00,1557010800000,5782.12,1.53580416996783e-05,3.827604489551776e-05,5819.24,2019-05-05 00:00:00
2019-05-05 01:00:00,1557014400000,5819.24,3.945467707210564e-05,2.8867393992669053e-05,5766.76,2019-05-05 01:00:00
2019-05-05 02:00:00,1557018000000,5766.76,5.905503430011035e-05,2.0167067676406415e-05,5751.74,2019-05-05 02:00:00
2019-05-05 03:00:00,1557021600000,5751.74,8.894086475846679e-05,2.0084277277827715e-05,5735.27,2019-05-05 03:00:00
2019-05-05 04:00:00,1557025200000,5735.27,0.00011610906238667345,1.0969169668815392e-05,5738.03,2019-05-05 04:00:00
2019-05-05 05:00:00,1557028800000,5738.03,0.00012630121290715276,-2.0252468633160797e-07,5755.21,2019-05-05 05:00:00
2019-05-05 06:00:00,1557032400000,5755.21,0.00015224735488373142,1.216432490030637e-06,5719.46,2019-05-05 06:00:00
2019-05-05 07:00:00,1557036000000,5719.46,0.00012109511483351427,1.6302295947151106e-06,5748.76,2019-05-05 07:00:00
2019-05-05 08:00:00,1557039600000,5748.76,9.679816685897025e-05,1.3284317879120958e-05,5738.07,2019-05-05 08:00:00
2019-05-05 09:00:00,1557043200000,5738.07,7.925860949024744e-05,1.1881056217792301e-05,5704.43,2019-05-05 09:00:00
2019-05-05 10:00:00,1557046800000,5704.43,6.717317056331838e-05,8.167797451132968e-06,5716.58,2019-05-05 10:00:00
2019-05-05 11:00:00,1557050400000,5716.58,5.119934420685796e-05,4.23145461165182e-06,5701.33,2019-05-05 11:00:00
2019-05-05 12:00:00,1557054000000,5701.33,7.500516834500019e-05,3.453333935876713e-05,5738.72,2019-05-05 12:00:00
2019-05-05 13:00:00,1557057600000,5738.72,0.00010672002047039893,3.119742164092059e-05,5710.06,2019-05-05 13:00:00
2019-05-05 14:00:00,1557061200000,5710.06,0.00010923198691600207,4.376641672789129e-06,5737.28,2019-05-05 14:00:00
2019-05-05 15:00:00,1557064800000,5737.28,0.0001238836191406888,1.5699219621481655e-05,5731.54,2019-05-05 15:00:00
2019-05-05 16:00:00,1557068400000,5731.54,0.00012047572873802527,1.0070616802187825e-05,5722.24,2019-05-05 16:00:00
2019-05-05 17:00:00,1557072000000,5722.24,0.00010840668108401357,4.5005628017471537e-07,5712.5,2019-05-05 17:00:00
2019-05-05 18:00:00,1557075600000,5712.5,0.00010509622988366127,4.640530713654696e-06,5702.01,2019-05-05 18:00:00
2019-05-05 19:00:00,1557079200000,5702.01,0.00010676386418564747,6.168899428554123e-06,5672.0,2019-05-05 19:00:00
2019-05-05 20:00:00,1557082800000,5672.0,7.163524873069289e-05,-1.056544286239771e-06,5715.64,2019-05-05 20:00:00
2019-05-05 21:00:00,1557086400000,5715.64,4.023232792770208e-05,-3.550254652432003e-09,5703.22,2019-05-05 21:00:00
2019-05-05 22:00:00,1557090000000,5703.22,4.3851707740465216e-05,7.778641970359194e-06,5767.42,2019-05-05 22:00:00
2019-05-05 23:00:00,1557093600000,5767.42,3.9521931944186817e-05,1.1468959809479387e-05,5746.78,2019-05-05 23:00:00
2019-05-06 00:00:00,1557097200000,5746.78,3.056839357086273e-05,1.169861713088689e-06,5709.58,2019-05-06 00:00:00
2019-05-06 01:00:00,1557100800000,5709.58,3.751764452737031e-05,7.446764148510413e-06,5715.45,2019-05-06 01:00:00
2019-05-06 02:00:00,1557104400000,5715.45,3.8141153524195574e-05,5.336962717989252e-06,5671.51,2019-05-06 02:00:00
2019-05-06 03:00:00,1557108000000,5671.51,2.521568670729504e-05,-6.587726454939455e-06,5616.59,2019-05-06 03:00:00
2019-05-06 04:00:00,1557111600000,5616.59,1.950211584471775e-05,-6.851425352525363e-06,5619.97,2019-05-06 04:00:00
2019-05-06 05:00:00,1557115200000,5619.97,1.0315928802367349e-05,-9.01382772657754e-06,5627.74,2019-05-06 05:00:00
2019-05-06 06:00:00,1557118800000,5627.74,-5.488443361763044e-06,-7.859226624058768e-06,5659.6,2019-05-06 06:00:00
2019-05-06 07:00:00,1557122400000,5659.6,-1.6839971284502956e-05,5.58851832488355e-08,5646.48,2019-05-06 07:00:00
2019-05-06 08:00:00,1557126000000,5646.48,-1.747589036027698e-05,4.1274904931884393e-07,5620.95,2019-05-06 08:00:00
2019-05-06 09:00:00,1557129600000,5620.95,-2.1363284875434093e-05,3.5257402670065586e-06,5583.2,2019-05-06 09:00:00
2019-05-06 10:00:00,1557133200000,5583.2,-2.0314814011783318e-05,6.083911377242312e-06,5598.59,2019-05-06 10:00:00
2019-05-06 11:00:00,1557136800000,5598.59,-3.3959793678038537e-06,1.0165474658048297e-05,5628.0,2019-05-06 11:00:00
2019-05-06 12:00:00,1557140400000,5628.0,6.796736067576953e-06,3.344006331576818e-06,5620.55,2019-05-06 12:00:00
2019-05-06 13:00:00,1557144000000,5620.55,1.6642969935191796e-05,8.09388920673956e-07,5641.84,2019-05-06 13:00:00
2019-05-06 14:00:00,1557147600000,5641.84,2.4624811564831224e-05,-1.592442776628892e-08,5616.22,2019-05-06 14:00:00
2019-05-06 15:00:00,1557151200000,5616.22,2.4308748809186988e-05,-2.0213316848359152e-07,5637.04,2019-05-06 15:00:00
2019-05-06 16:00:00,1557154800000,5637.04,2.378795636400567e-05,0.0,5651.88,2019-05-06 16:00:00
2019-05-06 17:00:00,1557158400000,5651.88,2.326631159820701e-05,3.1788033551058833e-06,5657.54,2019-05-06 17:00:00
2019-05-06 18:00:00,1557162000000,5657.54,3.4984633997214e-05,1.7941819560488884e-05,5703.17,2019-05-06 18:00:00
